/* This file is needed for program EWDC (Production System 4). 
   It contains the daily mastitis incidence (number of cows having mastitis
     divided by the total number of cows in the herd for the given day) for  
     days 1 to 400 of 1st, 2nd and 3rd and subsequent lactations. 
   The first number in each row is the day of lactation, the following three
     numbers are the mastitits incidence for the 1st, 2nd and 3rd and
     subsequent lactations, respectively. 
   The file is necessary only if the economic weight for clinical mastitis
     is to be calculated (option 1 for 'Data for mastitis incidence' 
     in parameter file PARAD.TXT). */
1	0.0091	0.0068	0.0110
2	0.0272	0.0181	0.0288
3	0.0590	0.0358	0.0547
4	0.0689	0.0506	0.0845
5	0.0730	0.0569	0.0937
6	0.0781	0.0631	0.1008
7	0.0748	0.0615	0.1022
8	0.0624	0.0525	0.0906
9	0.0421	0.0410	0.0739
10	0.0359	0.0308	0.0572
11	0.0339	0.0297	0.0543
12	0.0319	0.0234	0.0490
13	0.0286	0.0223	0.0461
14	0.0274	0.0223	0.0438
15	0.0258	0.0240	0.0410
16	0.0258	0.0246	0.0434
17	0.0254	0.0258	0.0405
18	0.0229	0.0264	0.0381
19	0.0229	0.0252	0.0337
20	0.0229	0.0218	0.0299
21	0.0205	0.0241	0.0270
22	0.0196	0.0252	0.0295
23	0.0176	0.0253	0.0275
24	0.0193	0.0259	0.0261
25	0.0193	0.0248	0.0271
26	0.0176	0.0265	0.0267
27	0.0176	0.0254	0.0277
28	0.0163	0.0243	0.0277
29	0.0159	0.0237	0.0268
30	0.0138	0.0261	0.0273
31	0.0126	0.0249	0.0288
32	0.0122	0.0261	0.0327
33	0.0109	0.0244	0.0347
34	0.0130	0.0226	0.0347
35	0.0118	0.0232	0.0361
36	0.0122	0.0221	0.0347
37	0.0134	0.0215	0.0337
38	0.0126	0.0238	0.0347
39	0.0109	0.0267	0.0308
40	0.0113	0.0233	0.0289
41	0.0118	0.0250	0.0289
42	0.0130	0.0215	0.0309
43	0.0114	0.0215	0.0314
44	0.0114	0.0239	0.0304
45	0.0123	0.0256	0.0300
46	0.0135	0.0245	0.0309
47	0.0140	0.0251	0.0340
48	0.0123	0.0304	0.0329
49	0.0123	0.0321	0.0335
50	0.0131	0.0316	0.0339
51	0.0119	0.0357	0.0315
52	0.0127	0.0317	0.0290
53	0.0123	0.0294	0.0286
54	0.0128	0.0270	0.0295
55	0.0123	0.0247	0.0295
56	0.0132	0.0259	0.0310
57	0.0149	0.0266	0.0320
58	0.0158	0.0266	0.0310
59	0.0150	0.0290	0.0316
60	0.0162	0.0284	0.0287
61	0.0192	0.0308	0.0287
62	0.0188	0.0249	0.0312
63	0.0180	0.0243	0.0332
64	0.0180	0.0249	0.0372
65	0.0180	0.0226	0.0383
66	0.0158	0.0279	0.0383
67	0.0146	0.0292	0.0373
68	0.0124	0.0262	0.0379
69	0.0128	0.0274	0.0349
70	0.0103	0.0298	0.0354
71	0.0120	0.0269	0.0320
72	0.0107	0.0251	0.0315
73	0.0107	0.0246	0.0341
74	0.0112	0.0276	0.0341
75	0.0133	0.0294	0.0346
76	0.0137	0.0306	0.0347
77	0.0142	0.0295	0.0353
78	0.0137	0.0307	0.0353
79	0.0150	0.0277	0.0318
80	0.0155	0.0308	0.0348
81	0.0168	0.0320	0.0374
82	0.0164	0.0314	0.0318
83	0.0159	0.0284	0.0324
84	0.0142	0.0272	0.0350
85	0.0134	0.0291	0.0361
86	0.0134	0.0273	0.0346
87	0.0112	0.0267	0.0367
88	0.0108	0.0292	0.0362
89	0.0117	0.0255	0.0378
90	0.0100	0.0262	0.0384
91	0.0100	0.0262	0.0379
92	0.0109	0.0262	0.0390
93	0.0104	0.0256	0.0395
94	0.0113	0.0226	0.0401
95	0.0105	0.0232	0.0406
96	0.0092	0.0220	0.0391
97	0.0079	0.0196	0.0356
98	0.0101	0.0172	0.0321
99	0.0101	0.0166	0.0363
100	0.0097	0.0197	0.0317
101	0.0110	0.0179	0.0302
102	0.0123	0.0179	0.0297
103	0.0123	0.0192	0.0313
104	0.0137	0.0217	0.0329
105	0.0128	0.0204	0.0308
106	0.0128	0.0230	0.0319
107	0.0137	0.0242	0.0304
108	0.0155	0.0211	0.0320
109	0.0155	0.0243	0.0310
110	0.0142	0.0268	0.0368
111	0.0160	0.0244	0.0410
112	0.0169	0.0250	0.0395
113	0.0151	0.0257	0.0374
114	0.0155	0.0282	0.0385
115	0.0142	0.0295	0.0369
116	0.0133	0.0251	0.0344
117	0.0142	0.0264	0.0312
118	0.0165	0.0252	0.0323
119	0.0161	0.0233	0.0265
120	0.0143	0.0252	0.0287
121	0.0152	0.0258	0.0293
122	0.0139	0.0258	0.0315
123	0.0143	0.0277	0.0342
124	0.0139	0.0278	0.0364
125	0.0126	0.0234	0.0380
126	0.0117	0.0246	0.0408
127	0.0126	0.0247	0.0387
128	0.0130	0.0266	0.0366
129	0.0144	0.0247	0.0350
130	0.0135	0.0222	0.0291
131	0.0135	0.0203	0.0319
132	0.0144	0.0209	0.0297
133	0.0145	0.0184	0.0314
134	0.0136	0.0165	0.0325
135	0.0122	0.0172	0.0368
136	0.0109	0.0185	0.0315
137	0.0127	0.0166	0.0293
138	0.0109	0.0153	0.0315
139	0.0109	0.0179	0.0299
140	0.0119	0.0167	0.0229
141	0.0110	0.0173	0.0245
142	0.0105	0.0180	0.0284
143	0.0114	0.0212	0.0274
144	0.0110	0.0206	0.0313
145	0.0114	0.0225	0.0297
146	0.0119	0.0226	0.0298
147	0.0128	0.0213	0.0254
148	0.0142	0.0232	0.0260
149	0.0147	0.0239	0.0271
150	0.0156	0.0252	0.0293
151	0.0166	0.0258	0.0272
152	0.0152	0.0265	0.0316
153	0.0143	0.0253	0.0283
154	0.0152	0.0259	0.0272
155	0.0143	0.0234	0.0234
156	0.0138	0.0234	0.0240
157	0.0143	0.0234	0.0212
158	0.0120	0.0215	0.0185
159	0.0116	0.0215	0.0179
160	0.0125	0.0196	0.0191
161	0.0097	0.0222	0.0174
162	0.0093	0.0229	0.0186
163	0.0111	0.0210	0.0225
164	0.0120	0.0223	0.0209
165	0.0130	0.0191	0.0186
166	0.0135	0.0178	0.0277
167	0.0139	0.0204	0.0266
168	0.0139	0.0211	0.0266
169	0.0126	0.0211	0.0261
170	0.0130	0.0204	0.0250
171	0.0145	0.0231	0.0262
172	0.0140	0.0251	0.0222
173	0.0145	0.0258	0.0234
174	0.0126	0.0265	0.0223
175	0.0112	0.0272	0.0241
176	0.0112	0.0292	0.0298
177	0.0112	0.0272	0.0281
178	0.0122	0.0239	0.0253
179	0.0127	0.0253	0.0253
180	0.0122	0.0226	0.0236
181	0.0122	0.0206	0.0208
182	0.0117	0.0213	0.0214
183	0.0113	0.0187	0.0197
184	0.0113	0.0187	0.0197
185	0.0118	0.0161	0.0220
186	0.0109	0.0167	0.0209
187	0.0128	0.0161	0.0203
188	0.0123	0.0195	0.0186
189	0.0133	0.0182	0.0215
